Part Name	Vendor	Cat #	Quantity	Unit Cost	Ext Cost	Link	Notes
StarTech 1-Feet Panel Mount USB Cable B to B - F/M (USBPNLBFBM1)	Amazon	USBPNLBFBM1	1	7.99	7.99	http://www.amazon.com/dp/B002M8VBIS/ref=sr_ph?ie=UTF8&qid=1462900794&sr=1&keywords=StarTech+1-Feet+Panel+Mount+USB+Cable+B+to+B+-+F%2FM+%28USBPNLBFBM1%29	
"Switchcraft 11 Mono Female 1/4-Inch Jack with Nut and Washer, Nickel Finish"	Amazon	B00C5B20QE	3	2.77	8.31	http://www.amazon.com/Switchcraft-11-Guitar-Input-Phone/dp/B00721BB44/ref=dp_ob_title_ce	
30pcs Single Row 40 Pin 2.54mm Pitch Female PCB Header Connector	Amazon	B00R1LE04I	1	$10.60	$10.60	http://www.amazon.com/Single-2-54mm-Female-Header-Connector/dp/B00R1LE04I/ref=sr_1_1?s=musical-instruments&ie=UTF8&qid=1462901535&sr=8-1&keywords=30pcs+Single+Row+40+Pin+2.54mm+Pitch+Female+PCB+Header+Connector	
"Source One LLC 1/8 th Inch Thick 12 x 12 Inches Acrylic Plexiglass Sheet, Clear"	Amazon	B004DYW31I	1	$9.99	$9.99	http://www.amazon.com/Source-Thick-Inches-Acrylic-Plexiglass/dp/B004DYW31I/ref=sr_1_1?ie=UTF8&qid=1462901555&sr=8-1&keywords=Source+One+LLC+1%2F8+th+Inch+Thick+12+x+12+Inches+Acrylic+Plexiglass+Sheet%2C+Clear	
"Pack of 5 Prototype Universal Stripboard 2""x5"" (50ля127mm) 1000hole Phenolic Pitch 0.1"""	Amazon	B00D29X6JS	1	$6.75	$6.75	http://www.amazon.com/Prototype-Universal-Stripboard-50%C3%97127mm-1000hole/dp/B00D23G21S/ref=sr_1_4?ie=UTF8&qid=1462901636&sr=8-4&keywords=5+pack+stripboard	
100 Pcs Hex Threaded Spacer Offwhite Plastic PC Board Standoff	Amazon	B0087Y9FTS	1	$5.90	$5.90	http://www.amazon.com/Threaded-Spacer-Offwhite-Plastic-Standoff/dp/B0087Y9FTS/ref=sr_1_1?ie=UTF8&qid=1462901668&sr=8-1&keywords=100+Pcs+Hex+Threaded+Spacer+Offwhite+Plastic+PC+Board+Standoff	
"BR1 Solderable PC BreadBoard, 1 Sided PCB, matches 830 tie-point breadboard with Power Rails, 1.85 x 7.05 in (47.0 x 179.1 mm)"	Amazon	B003WLJZMI	1	6.5	6.5	http://www.amazon.com/BR1-Solderable-BreadBoard-tie-point-breadboard/dp/B003WLJZMI/ref=sr_1_2?ie=UTF8&qid=1462901696&sr=8-2&keywords=BR1+Solderable+PC+BreadBoard%2C+1+Sided+PCB%2C+matches+830+tie-point+breadboard+with+Power+Rails%2C+1.85+x+7.05+in+%2847.0+x+179.1+mm%29	
Phantom YoYo 40P Dupont Cable 10cm Male to Male 1P to 1P	Amazon	B00KOL8O6C	2	$4.99	$9.98	http://www.amazon.com/Phantom-YoYo-Dupont-Cable-10cm/dp/B00KOL8O6C/ref=sr_1_1?ie=UTF8&qid=1462901717&sr=8-1&keywords=Phantom+YoYo+40P+Dupont+Cable+10cm+Male+to+Male+1P+to+1P	
Sunkee 10PCS 40Pin 2.54mm Single Row Straight Female Pin Header Strip PBC Ardunio	Amazon	B00CFENE02	1	$7.98	$7.98	http://www.amazon.com/Sunkee-2-54mm-Single-Straight-Ardunio/dp/B00CFENE02/ref=sr_1_1?ie=UTF8&qid=1462901737&sr=8-1&keywords=Sunkee+10PCS+40Pin+2.54mm+Single+Row+Straight+Female+Pin+Header+Strip+PBC+Ardunio	
Phantom YoYo 40P dupont cable 200mm male to female	Amazon	B00A6SOGC4	2	$3.89	$7.78	http://www.amazon.com/dp/B00A6SOGC4/ref=sr_ph?ie=UTF8&qid=1462901769&sr=1&keywords=Phantom+YoYo+40P+dupont+cable+200mm+male+to+female	
15Pcs 40 Pin 2.54 mm Single Row (L 11MM) Male Header for Arduino Prototype Shield DIY	Amazon	B00FR19WQA	1	$4.80	$4.80	http://www.amazon.com/Single-Header-Arduino-Prototype-Shield/dp/B00FR19WQA/ref=sr_1_1?s=electronics&ie=UTF8&qid=1462901795&sr=1-1&keywords=15Pcs+40+Pin+2.54+mm+Single+Row+%28L+11MM%29+Male+Header+for+Arduino+Prototype+Shield+DIY	
sunkee 100pcs 1p to 1p female to female jumper wire Dupont cable for Arduino 20cm	Amazon	B00AYCON8Y	1	$6.20	$6.20	http://www.amazon.com/sunkee-100pcs-female-Dupont-Arduino/dp/B00AYCON8Y/ref=sr_1_1?s=electronics&ie=UTF8&qid=1462901812&sr=1-1&keywords=sunkee+100pcs+1p+to+1p+female+to+female+jumper+wire+Dupont+cable+for+Arduino+20cm	
Power Switch (SPST)	Amazon	B0057M4J4E	1	2.14	2.14	http://www.amazon.com/Terminal-Black-Round-Rocker-Switch/dp/B0057M4J4E/ref=sr_1_12?ie=UTF8&qid=1462902187&sr=8-12&keywords=spst+switch	
Misc 4-40 machine screws to mount LCD display (1 inch as narrow as possible)	Lowes / Amazon		1	2	2		
							
Total Cost					260.55		
							
							
Consumables:							
Solder							
Hookup wire							
Hot glue (for LEDS)							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
